T_score_TREE_DEPTH_1,H_score_TREE_DEPTH_1,T_score_TREE_DEPTH_2,H_score_TREE_DEPTH_2,T_score_TREE_DEPTH_3,H_score_TREE_DEPTH_3,,,Train_error_TREE_DEPTH_1,Test_error_TREE_DEPTH_1,Train_error_TREE_DEPTH_2,Test_error_TREE_DEPTH_2,Train_error_TREE_DEPTH_3,Test_error_TREE_DEPTH_3
0.946887377,0.947262682,0.988118209,0.977398292,1,0.987443496,,,0.053112623,0.052737318,0.011881791,0.022601708,0,0.012556504
0.948816899,0.946760422,0.988321316,0.977398292,1,0.987443496,,,0.051183101,0.053239578,0.011678684,0.022601708,0,0.012556504
0.949426221,0.949773983,0.987407332,0.976896032,1,0.987443496,,,0.050573779,0.050226017,0.012592668,0.023103968,0,0.012556504
0.949629329,0.948769463,0.988727531,0.977900552,1,0.988950276,,,0.050370671,0.051230537,0.011272469,0.022099448,0,0.011049724
0.951457297,0.950276243,0.988219762,0.978905073,1,0.987443496,,,0.048542703,0.049723757,0.011780238,0.021094927,0,0.012556504
0.951761958,0.948267202,0.988524424,0.977398292,1,0.988950276,,,0.048238042,0.051732798,0.011475576,0.022601708,0,0.011049724
0.951254189,0.948267202,0.988321316,0.977398292,1,0.987945756,,,0.048745811,0.051732798,0.011678684,0.022601708,0,0.012054244
0.951254189,0.950778503,0.988118209,0.977398292,1,0.987443496,,,0.048745811,0.049221497,0.011881791,0.022601708,0,0.012556504
0.951457297,0.948769463,0.987813547,0.978905073,1,0.986941236,,,0.048542703,0.051230537,0.012186453,0.021094927,0,0.013058764
0.951355743,0.950276243,0.9892353,0.978905073,1,0.986941236,,,0.048644257,0.049723757,0.0107647,0.021094927,0,0.013058764
0.951660404,0.948769463,0.988321316,0.977900552,1,0.987945756,,,0.048339596,0.051230537,0.011678684,0.022099448,0,0.012054244
0.951457297,0.950778503,0.989133746,0.980411853,1,0.986941236,,,0.048542703,0.049221497,0.010866254,0.019588147,0,0.013058764
0.95155885,0.949271723,0.989946177,0.980411853,1,0.988950276,,,0.04844115,0.050728277,0.010053823,0.019588147,0,0.011049724
0.951863512,0.949773983,0.99004773,0.980411853,1,0.989452536,,,0.048136488,0.050226017,0.00995227,0.019588147,0,0.010547464
0.95155885,0.949271723,0.990149284,0.980411853,1,0.988950276,,,0.04844115,0.050728277,0.009850716,0.019588147,0,0.011049724
0.951863512,0.950276243,0.990453945,0.982420894,1,0.987443496,,,0.048136488,0.049723757,0.009546055,0.017579106,0,0.012556504
0.95155885,0.950276243,0.989946177,0.981918634,1,0.989452536,,,0.04844115,0.049723757,0.010053823,0.018081366,0,0.010547464
0.951863512,0.950276243,0.991571037,0.983927675,1,0.987945756,,,0.048136488,0.049723757,0.008428963,0.016072325,0,0.012054244
0.953285265,0.949271723,0.991469483,0.981416374,1,0.988448016,,,0.046714735,0.050728277,0.008530517,0.018583626,0,0.011551984
0.951761958,0.948769463,0.991367929,0.982420894,1,0.986941236,,,0.048238042,0.051230537,0.008632071,0.017579106,0,0.013058764
0.952879049,0.949271723,0.991266376,0.982923154,1,0.988448016,,,0.047120951,0.050728277,0.008733624,0.017076846,0,0.011551984
0.951457297,0.948769463,0.991266376,0.982420894,1,0.987945756,,,0.048542703,0.051230537,0.008733624,0.017579106,0,0.012054244
0.952980603,0.950276243,0.991266376,0.982420894,1,0.988448016,,,0.047019397,0.049723757,0.008733624,0.017579106,0,0.011551984
0.952980603,0.950778503,0.991164822,0.981918634,1,0.987443496,,,0.047019397,0.049221497,0.008835178,0.018081366,0,0.012556504
0.953488372,0.952285284,0.991774144,0.980914114,1,0.987945756,,,0.046511628,0.047714716,0.008225856,0.019085886,0,0.012054244
0.953082157,0.948769463,0.991571037,0.982420894,1,0.987945756,,,0.046917843,0.051230537,0.008428963,0.017579106,0,0.012054244
0.953488372,0.952285284,0.992383467,0.982923154,1,0.988448016,,,0.046511628,0.047714716,0.007616533,0.017076846,0,0.011551984
0.953996141,0.950778503,0.992586575,0.982923154,1,0.989954797,,,0.046003859,0.049221497,0.007413425,0.017076846,0,0.010045203
0.954605464,0.952787544,0.992891236,0.984429935,1,0.987945756,,,0.045394536,0.047212456,0.007108764,0.015570065,0,0.012054244
0.954402356,0.953289804,0.993094343,0.982923154,1,0.988950276,,,0.045597644,0.046710196,0.006905657,0.017076846,0,0.011049724
0.955925663,0.950276243,0.993703666,0.983927675,1,0.988448016,,,0.044074337,0.049723757,0.006296334,0.016072325,0,0.011551984
0.954402356,0.948769463,0.994312989,0.982420894,1,0.988448016,,,0.045597644,0.051230537,0.005687011,0.017579106,0,0.011551984
0.956534985,0.951280763,0.993500559,0.982923154,1,0.988448016,,,0.043465015,0.048719237,0.006499441,0.017076846,0,0.011551984
0.955621001,0.950276243,0.994820758,0.981416374,1,0.987443496,,,0.044378999,0.049723757,0.005179242,0.018583626,0,0.012556504
0.956027216,0.951280763,0.994820758,0.983927675,1,0.987443496,,,0.043972784,0.048719237,0.005179242,0.016072325,0,0.012556504
0.955621001,0.950778503,0.995125419,0.983425414,1,0.987945756,,,0.044378999,0.049221497,0.004874581,0.016574586,0,0.012054244
0.956027216,0.951280763,0.995328526,0.982420894,1,0.987945756,,,0.043972784,0.048719237,0.004671474,0.017579106,0,0.012054244
0.954808571,0.949773983,0.994922311,0.983927675,1,0.988950276,,,0.045191429,0.050226017,0.005077689,0.016072325,0,0.011049724
0.957347415,0.951280763,0.995125419,0.985434455,1,0.988448016,,,0.042652585,0.048719237,0.004874581,0.014565545,0,0.011551984
0.955824109,0.951280763,0.995125419,0.982923154,1,0.988950276,,,0.044175891,0.048719237,0.004874581,0.017076846,0,0.011049724
0.956636539,0.951783024,0.995531634,0.984429935,1,0.988448016,,,0.043363461,0.048216976,0.004468366,0.015570065,0,0.011551984
0.955824109,0.951280763,0.996953387,0.982420894,1,0.988448016,,,0.044175891,0.048719237,0.003046613,0.017579106,0,0.011551984
0.956636539,0.951783024,0.997156494,0.985936715,1,0.988448016,,,0.043363461,0.048216976,0.002843506,0.014063285,0,0.011551984
0.956839647,0.952787544,0.996344064,0.983927675,1,0.988448016,,,0.043160353,0.047212456,0.003655936,0.016072325,0,0.011551984
0.957448969,0.953792064,0.996648726,0.983425414,1,0.988950276,,,0.042551031,0.046207936,0.003351274,0.016574586,0,0.011049724
0.958058292,0.953792064,0.996648726,0.984429935,1,0.987443496,,,0.041941708,0.046207936,0.003351274,0.015570065,0,0.012556504
0.958870722,0.952285284,0.996547172,0.983927675,1,0.988448016,,,0.041129278,0.047714716,0.003452828,0.016072325,0,0.011551984
0.957042754,0.950778503,0.996648726,0.984429935,1,0.987945756,,,0.042957246,0.049221497,0.003351274,0.015570065,0,0.012054244
0.959175383,0.949773983,0.996547172,0.983927675,1,0.987945756,,,0.040824617,0.050226017,0.003452828,0.016072325,0,0.012054244
